method,seed,fitness,utility,cost,feasible,calorie_violation,variety_shortage,repeat_excess,overspend,unique_dishes,evaluations,seconds,individual
repair_uniform,2000000,-1936,1936,3266,True,0,0,0,0,15,14300,0.2652447499567643,"[9, 16, 35, 0, 16, 33, 5, 13, 35, 11, 22, 33, 0, 14, 28, 4, 23, 24, 4, 14, 27]"
repair_uniform,2000001,-1936,1936,3266,True,0,0,0,0,15,14300,0.2723259589402005,"[5, 13, 24, 0, 16, 33, 9, 23, 28, 4, 14, 33, 4, 16, 35, 0, 22, 35, 11, 14, 27]"
repair_uniform,2000002,-1936,1936,3266,True,0,0,0,0,15,14300,0.2620104170637205,"[5, 16, 28, 9, 14, 33, 0, 22, 27, 0, 16, 35, 11, 13, 35, 4, 14, 24, 4, 23, 33]"
repair_uniform,2000003,-1936,1936,3266,True,0,0,0,0,15,14300,0.2546913749538362,"[0, 14, 35, 4, 23, 33, 5, 22, 33, 0, 16, 28, 11, 14, 24, 9, 16, 27, 4, 13, 35]"
repair_uniform,2000004,-1936,1936,3199,True,0,0,0,0,15,14300,0.27503345801960677,"[4, 23, 33, 1, 22, 28, 4, 13, 35, 0, 16, 33, 9, 14, 28, 11, 14, 24, 5, 16, 35]"
repair_uniform,2000005,-1936,1936,3266,True,0,0,0,0,15,14300,0.2637287499383092,"[9, 14, 35, 4, 16, 27, 5, 13, 33, 11, 23, 33, 4, 16, 35, 0, 22, 24, 0, 14, 28]"
repair_uniform,2000006,-1936,1936,3266,True,0,0,0,0,15,14300,0.2568795420229435,"[4, 16, 33, 5, 13, 35, 9, 22, 28, 0, 14, 33, 0, 14, 27, 4, 16, 24, 11, 23, 35]"
repair_uniform,2000007,-1936,1936,3199,True,0,0,0,0,15,14300,0.26137912494596094,"[0, 23, 35, 1, 16, 33, 11, 13, 28, 4, 22, 33, 9, 16, 28, 5, 14, 24, 4, 14, 35]"
repair_uniform,2000008,-1936,1936,3199,True,0,0,0,0,15,14300,0.2544487080303952,"[9, 13, 35, 5, 16, 33, 4, 14, 33, 1, 14, 28, 4, 22, 35, 0, 16, 24, 11, 23, 28]"
repair_uniform,2000009,-1936,1936,3266,True,0,0,0,0,15,14300,0.2536863749846816,"[4, 16, 35, 0, 14, 27, 0, 16, 33, 9, 13, 24, 5, 14, 33, 11, 22, 28, 4, 23, 35]"
repair_uniform,2000010,-1936,1936,3266,True,0,0,0,0,15,14300,0.24702908308245242,"[4, 22, 33, 4, 14, 27, 11, 23, 33, 0, 14, 24, 9, 13, 28, 0, 16, 35, 5, 16, 35]"
repair_uniform,2000011,-1936,1936,3266,True,0,0,0,0,15,14300,0.2462793339509517,"[5, 14, 35, 4, 23, 27, 4, 22, 33, 11, 16, 35, 0, 13, 24, 0, 16, 33, 9, 14, 28]"
repair_uniform,2000012,-1936,1936,3266,True,0,0,0,0,15,14300,0.2536773750325665,"[11, 16, 24, 4, 23, 33, 9, 22, 28, 4, 13, 35, 0, 14, 35, 5, 14, 27, 0, 16, 33]"
repair_uniform,2000013,-1936,1936,3193,True,0,0,0,0,15,14300,0.25826883397530764,"[0, 13, 33, 5, 23, 35, 4, 16, 28, 4, 14, 28, 11, 14, 35, 9, 16, 24, 6, 22, 33]"
repair_uniform,2000014,-1936,1936,3266,True,0,0,0,0,15,14300,0.2509165829978883,"[5, 22, 33, 4, 13, 33, 0, 14, 35, 11, 16, 28, 9, 16, 27, 4, 23, 35, 0, 14, 24]"
repair_uniform,2000015,-1936,1936,3199,True,0,0,0,0,15,14300,0.27161691698711365,"[11, 23, 35, 9, 16, 35, 4, 16, 33, 5, 14, 24, 0, 22, 28, 4, 14, 28, 1, 13, 33]"
repair_uniform,2000016,-1936,1936,3266,True,0,0,0,0,15,14300,0.2727261249674484,"[5, 22, 24, 4, 14, 35, 0, 13, 28, 11, 16, 33, 0, 16, 35, 9, 23, 33, 4, 14, 27]"
repair_uniform,2000017,-1936,1936,3266,True,0,0,0,0,15,14300,0.2581365410005674,"[11, 13, 35, 9, 14, 33, 0, 16, 27, 0, 14, 35, 4, 22, 33, 4, 23, 28, 5, 16, 24]"
repair_uniform,2000018,-1936,1936,3266,True,0,0,0,0,15,14300,0.2590824170038104,"[9, 22, 27, 4, 13, 28, 0, 14, 24, 5, 14, 33, 11, 16, 35, 0, 23, 35, 4, 16, 33]"
repair_uniform,2000019,-1936,1936,3266,True,0,0,0,0,15,14300,0.2608094580937177,"[0, 23, 24, 4, 22, 28, 0, 16, 33, 5, 13, 35, 11, 14, 27, 9, 14, 33, 4, 16, 35]"
penalty_uniform,2010000,-1936,1936,3266,True,0,0,0,0,15,14300,0.12664099992252886,"[0, 13, 33, 0, 14, 24, 4, 23, 35, 5, 22, 27, 11, 16, 28, 4, 16, 33, 9, 14, 35]"
penalty_uniform,2010001,-1936,1936,3199,True,0,0,0,0,15,14300,0.1249537089606747,"[9, 14, 35, 1, 22, 33, 11, 16, 28, 5, 13, 24, 4, 14, 33, 4, 16, 35, 0, 23, 28]"
