method,seed,fitness,domain_metric,feasible,violations,elapsed_seconds,individual,details
repair_uniform_step,600000,-12473,12473.0,True,0,0.2276937499991618,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5055, ""budget"": 5057, ""utility"": 12473}"
repair_uniform_step,600001,-12473,12473.0,True,0,0.22812379099195823,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5055, ""budget"": 5057, ""utility"": 12473}"
repair_uniform_step,600002,-12473,12473.0,True,0,0.2523172500077635,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5051, ""budget"": 5057, ""utility"": 12473}"
repair_uniform_step,600003,-12468,12468.0,True,0,0.2286293749930337,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 4, 2, 1, 12, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5052, ""budget"": 5057, ""utility"": 12468}"
repair_uniform_step,600004,-12468,12468.0,True,0,0.22689391701715067,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 4, 2, 1, 12, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5052, ""budget"": 5057, ""utility"": 12468}"
repair_uniform_step,600005,-12473,12473.0,True,0,0.22679450002033263,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5055, ""budget"": 5057, ""utility"": 12473}"
repair_uniform_step,600006,-12468,12468.0,True,0,0.22742370900232345,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5048, ""budget"": 5057, ""utility"": 12468}"
repair_uniform_step,600007,-12468,12468.0,True,0,0.22647308302111924,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5048, ""budget"": 5057, ""utility"": 12468}"
repair_uniform_step,600008,-12468,12468.0,True,0,0.22796724998624995,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5048, ""budget"": 5057, ""utility"": 12468}"
repair_uniform_step,600009,-12473,12473.0,True,0,0.22727208404103294,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]","{""cost"": 5051, ""budget"": 5057, ""utility"": 12473}"
